time,open,high,low,close,tick_volume,spread,real_volume
2026-03-10 04:00:00+00:00,5184.17,5186.88,5170.46,5175.19,5465,45,0
2026-03-10 04:15:00+00:00,5175.18,5180.95,5172.38,5179.74,3586,47,0
2026-03-10 04:30:00+00:00,5179.76,5184.49,5175.68,5182.15,4822,45,0
2026-03-10 04:45:00+00:00,5182.14,5185.62,5163.78,5165.87,5189,46,0
2026-03-10 05:00:00+00:00,5165.88,5173.32,5165.11,5166.35,4411,46,0
2026-03-10 05:15:00+00:00,5166.33,5170.53,5161.61,5166.55,4311,45,0
2026-03-10 05:30:00+00:00,5166.53,5167.81,5159.97,5162.4,2823,46,0
2026-03-10 05:45:00+00:00,5162.41,5162.84,5155.64,5157.57,2891,46,0
2026-03-10 06:00:00+00:00,5157.4,5165.06,5154.25,5164.23,3112,45,0
2026-03-10 06:15:00+00:00,5164.22,5166.43,5161.25,5162.31,2405,44,0
2026-03-10 06:30:00+00:00,5162.3,5165.34,5161.33,5161.85,1731,43,0
2026-03-10 06:45:00+00:00,5161.82,5165.22,5161.41,5163.58,1431,46,0
2026-03-10 07:00:00+00:00,5163.6,5173.17,5163.58,5172.73,2506,45,0
2026-03-10 07:15:00+00:00,5172.74,5174.06,5168.79,5171.41,1751,46,0
2026-03-10 07:30:00+00:00,5171.36,5174.08,5167.19,5168.63,3045,46,0
2026-03-10 07:45:00+00:00,5168.6,5179.15,5166.83,5177.89,2745,46,0
2026-03-10 08:00:00+00:00,5177.98,5180.72,5173.88,5179.4,2938,47,0
2026-03-10 08:15:00+00:00,5179.36,5179.36,5171.59,5175.96,2859,46,0
2026-03-10 08:30:00+00:00,5175.98,5178.85,5173.36,5175.68,3379,47,0
2026-03-10 08:45:00+00:00,5175.57,5177.12,5173.2,5175.21,2878,46,0
2026-03-10 09:00:00+00:00,5175.2,5178.66,5170.56,5174.51,3413,45,0
2026-03-10 09:15:00+00:00,5174.49,5177.39,5158.39,5169.25,3989,45,0
2026-03-10 09:30:00+00:00,5169.2,5178.07,5165.43,5175.97,3573,36,0
2026-03-10 09:45:00+00:00,5176.03,5181.09,5174.88,5180.8,3332,46,0
2026-03-10 10:00:00+00:00,5180.91,5185.11,5174.89,5179.58,4899,30,0
2026-03-10 10:15:00+00:00,5179.52,5183.93,5175.3,5183.83,3047,45,0
2026-03-10 10:30:00+00:00,5183.82,5193.97,5182.91,5189.76,4102,45,0
2026-03-10 10:45:00+00:00,5189.77,5195.02,5182.58,5183.23,3830,30,0
2026-03-10 11:00:00+00:00,5183.28,5189.18,5180.39,5187.74,3072,45,0
2026-03-10 11:15:00+00:00,5187.75,5189.14,5180.68,5186.62,3560,47,0
2026-03-10 11:30:00+00:00,5186.64,5188.14,5181.86,5187.48,3469,47,0
2026-03-10 11:45:00+00:00,5187.46,5188.96,5182.22,5182.33,2823,47,0
2026-03-10 12:00:00+00:00,5182.3,5183.76,5175.87,5181.18,3870,43,0
